staid,no_flow_count,total_count,no_flow_ratio
01013500,0,26280,0
01017550,0,8395,0
01021470,0,5840,0
01021480,0,8760,0
01022260,0,6205,0
01022330,0,1825,0
01022500,0,26280,0
01023000,0,10220,0
01027200,0,7665,0
01029200,0,8760,0
01030500,0,26280,0
01031300,0,9490,0
01031500,0,26280,0
01031510,0,5110,0
01033500,0,10220,0
01037380,39,8760,0.004452054794520548
01044550,0,8395,0
01046000,0,11680,0
01047000,0,26280,0
01047200,0,5110,0
01048220,0,5110,0
01052500,0,26280,0
01054200,0,21170,0
01054300,0,14600,0
01055000,0,26280,0
01057000,0,26280,0
01064300,0,14600,0
01064400,0,9855,0
01064801,0,10585,0
01067950,0,5110,0
01073000,0,26280,0
01074520,0,10585,0
01075800,0,12410,0
01077400,0,5110,0
01078000,0,26280,0
01084500,0,6935,0
01085800,0,14965,0
01086000,0,17520,0
01091000,0,14965,0
01093800,0,14600,0
01096503,0,1095,0
01109090,0,730,0
01115630,0,11680,0
01115670,0,1460,0
01115770,0,7300,0
01117370,0,8760,0
01117468,0,17520,0
01117800,0,20440,0
01118300,9,23360,3.852739726027397e-4
01120500,32,10950,0.0029223744292237444
01121000,0,26280,0
01123000,0,25915,0
01127880,0,7665,0
01130000,0,22995,0
01134500,0,26280,0
01135000,0,11680,0
01135150,0,11680,0
01135300,0,11680,0
01137500,0,26280,0
01138000,0,10585,0
01139000,0,26280,0
01139800,0,23360,0
01141800,0,12775,0
01142500,0,25550,0
01144000,0,26280,0
01145000,0,9855,0
01150900,0,13140,0
01153500,0,12045,0
01154000,0,18615,0
01155000,0,9855,0
01162500,0,26280,0
01165500,0,11315,0
01169000,0,26280,0
01170100,0,20075,0
01170930,0,730,0
01174000,0,11315,0
01174565,0,9490,0
01174600,321,11680,0.02748287671232877
01174900,0,12775,0
01176780,0,730,0
01180000,0,8395,0
01181000,0,26280,0
01187300,0,25550,0
01187400,0,7665,0
01187800,0,9125,0
01188000,0,26280,0
01193500,0,26280,0
01194000,0,10950,0
01194500,0,18615,0
01195100,20,14965,0.0013364517206815904
01195200,6,6935,8.651766402307138e-4
01198000,0,12775,0
01199200,141,7300,0.019315068493150685
01203805,0,7300,0
01208950,1,21170,4.723665564478035e-5
01208990,0,21170,0
01319000,0,9855,0
01333000,0,26280,0
01333500,0,16060,0
01343060,0,7665,0
01349711,0,9125,0
01349810,0,9125,0
01349840,0,4015,0
01350000,0,26280,0
01350080,0,13140,0
01350140,0,17520,0
01361500,10,9490,0.001053740779768177
01362198,0,8760,0
01362200,0,21535,0
0136230002,0,6935,0
01362370,0,9125,0
01362497,0,9125,0
01363382,0,8030,0
01364959,0,4745,0
01365000,0,26280,0
01374781,0,5840,0
01409810,0,13505,0
01411300,0,17885,0
01413408,0,9490,0
01413500,0,26280,0
01414000,0,13505,0
01414500,0,26280,0
01415000,0,26280,0
01415460,0,1095,0
01418500,0,6935,0
01419500,0,8395,0
01421618,0,9125,0
01422389,17,4015,0.004234122042341221
01422500,0,16060,0
01422738,11,3650,0.0030136986301369864
01422747,0,6935,0
01423000,0,26280,0
0142400103,0,14600,0
0143400680,0,9125,0
01434017,0,11315,0
01434021,0,9125,0
01434025,0,14235,0
01435000,0,25915,0
01439500,0,26280,0
01439800,0,1825,0
01440000,0,26280,0
01440400,0,23725,0
01448500,0,16425,0
01451800,0,20440,0
01460880,21,3650,0.005753424657534247
01461300,0,1825,0
01466500,0,25185,0
01471875,0,9855,0
01484000,0,10950,0
01484100,1,23360,4.280821917808219e-5
01485000,0,25185,0
01485500,0,26280,0
01486000,81,24455,0.0033122060928235534
01487000,0,26280,0
01490000,0,18250,0
01491000,0,26280,0
01492000,98,11315,0.008661069376933275
01492500,0,9490,0
01493500,0,25185,0
01502000,0,16060,0
01502500,0,24090,0
01505500,0,8760,0
01510000,0,24090,0
01510500,0,6570,0
01514000,0,11680,0
01516500,110,24455,0.004498057656920875
01517000,658,8395,0.07837998808814771
01518862,0,14235,0
01525981,0,8030,0
01526000,299,6935,0.04311463590483057
01527000,0,10950,0
01527500,0,7665,0
01528000,0,16060,0
01532000,0,26280,0
01539000,0,26280,0
01542810,0,21170,0
01543000,0,26280,0
01543500,0,26280,0
01544500,0,26280,0
01545600,0,21170,0
01547700,2,24455,8.178286648947045e-5
01548500,0,26280,0
01549500,4,26280,1.5220700152207003e-4
01550000,0,26280,0
01552000,0,25550,0
01552500,0,26280,0
01557500,0,26280,0
01558098,0,365,0
01564500,0,26280,0
01566000,0,10220,0
01567500,0,24820,0
01568000,0,26280,0
